ID,timestamp,phase,block,trial,ID_item,img,training,est,true,rt_ms,response_duration_ms,time_stim_shown,first_input,input_values,input_times,strategy,knowledge,quality,cheated,age,gender,undisturbed,undisturbed_specific,technical_problems,technical_problems_specific,domain
qza2yw7qkddd,2025-04-24,testing,NA,0,Cookies,Bild68.png,0,46,58,4518.099999952363,116,1174047.7,1177068,"4, 6","1177068, 1177543",Just the knowledge I have about those foods contents.,5,yes,no,32,female,yes,NA,no,NA,Food
qza2yw7qkddd,2025-04-24,testing,NA,2,Potatoes,Bild12.png,0,90,19,3760.800000095274,74,1184741.6,1187161,"9, 0","1187161, 1187416",Just the knowledge I have about those foods contents.,5,yes,no,32,female,yes,NA,no,NA,Food
qza2yw7qkddd,2025-04-24,testing,NA,3,Dextrose,Bild80.png,0,56,91,4619.5,97,1188514.5,1191824,"5, 6","1191824, 1192059",Just the knowledge I have about those foods contents.,5,yes,no,32,female,yes,NA,no,NA,Food
qza2yw7qkddd,2025-04-24,testing,NA,4,Chicken,Bild53.png,1,2,2,2903.100000047591,81,1193145.1,1195066,2,1195066,Just the knowledge I have about those foods contents.,5,yes,no,32,female,yes,NA,no,NA,Food
qza2yw7qkddd,2025-04-24,testing,NA,6,Gummy bears,Bild59.png,1,77,77,3246.600000000093,111,1200299.4,1202534,"7, 7","1202534, 1202695",Just the knowledge I have about those foods contents.,5,yes,no,32,female,yes,NA,no,NA,Food
qza2yw7qkddd,2025-04-24,testing,NA,7,Chickpeas,Bild72.png,1,16,16,6027.799999904586,101,1203555.8,1207446,"1, 6","1207446, 1208668",Just the knowledge I have about those foods contents.,5,yes,no,32,female,yes,NA,no,NA,Food
qza2yw7qkddd,2025-04-24,testing,NA,8,Dried ham,Bild47.png,0,4,1,3535.300000095274,80,1209594.1,1212120,4,1212120,Just the knowledge I have about those foods contents.,5,yes,no,32,female,yes,NA,no,NA,Food
qza2yw7qkddd,2025-04-24,testing,NA,9,Croissant,Bild8.png,0,80,47,8968.700000047684,93,1213142,1215320,"8, 0","1215320, 1215606",Just the knowledge I have about those foods contents.,5,yes,no,32,female,yes,NA,no,NA,Food
qza2yw7qkddd,2025-04-24,testing,NA,10,Apricot,Bild37.png,0,45,9,3664.143999952357,104,1222112.156,1224563,"4, 5","1224563, 1224798",Just the knowledge I have about those foods contents.,5,yes,no,32,female,yes,NA,no,NA,Food
qza2yw7qkddd,2025-04-24,testing,NA,11,Eggplant,Bild78.png,0,4,3,8099.199999999953,98,1225784.8,1228504,"4, 5, NA","1228504, 1228727, 1232344",Just the knowledge I have about those foods contents.,5,yes,no,32,female,yes,NA,no,NA,Food
